Bird,Infection,Diet,Day,eyescore,recovery
209,MG,lipid,35,0,1
619,MG,lipid,14,0,1
101LS,MG,lipid,30,0,1
AR1721 ,MG,lipid,21,0,1
Blue015,MG,lipid,35,2.5,0
blue031,MG,lipid,30,2.5,0
Blue043,MG,lipid,30,0,1
blue055,MG,lipid,18,3,0
LD19239,MG,lipid,14,0,1
Orange27,MG,lipid,10,2,0
SEM1976,MG,lipid,35,0,1
610,MG,protein,14,0,1
Blue032,MG,protein,14,0,1
Blue035,MG,protein,25,0,1
Blue037,MG,protein,30,0,1
Blue042,MG,protein,21,0,1
Blue045,MG,protein,14,0,1
SEM19107,MG,protein,30,0,1
SEM191481,MG,protein,14,0,1
SEM1974,MG,protein,21,0,1